Unnamed: 0,제목,랭킹,저자,출판사,평점,리뷰수,가격
208,"파이썬 기반 강화학습 알고리듬 (DP, Q-Learning, AC, DQN, TRPO, PPO, DDPG, TD3, Imitation Learning, ESBAS 알아보기)",None,안드레아 론자,에이콘출판,0.0,0,27000
209,파이써닉한 파이썬을 익히는 간결한 안내서,None,데이비드 M. 비즐리,인사이트,0.0,0,25200
210,윤성우의 열혈 파이썬 중급편,None,윤성우,오렌지미디어,0.0,0,14400
211,"파이썬으로 시작하는 머신러닝+딥러닝 (사이킷런(sklearn)을 이용한 머신러닝부터 텐서플로우(TensorFlow), 케라스(Keras)를 이용한 딥러닝 개발까지)",None,강지영,아이리포,0.0,0,19800
212,모두의 파이썬 X 알고리즘(합본호) (누구나 쉽게 배우는 프로그래밍 기초),None,이승찬,길벗,0.0,0,23400
213,파이썬 인공지능 입문+실전: 종합편 (파이썬+넘파이+텐서플로우로 인공지능 딥러닝 직접 구현하기),None,서민우,앤써북,0.0,0,20700
214,Hello Coding 파이썬 (쌩초보의 처음 프로그래밍),None,윤인성,한빛미디어,0.0,0,0
215,"만들면서 배우는 파이썬 하나, 둘, 셋",None,나인섭,연두에디션,5.0,2,18000
216,파이썬으로 웹 크롤러 만들기 (초간단 나만의 웹 크롤러로 원하는 데이터를 가져오는 방법),None,라이언 미첼,한빛미디어,5.0,1,21600
217,모두의 알고리즘 with 파이썬 (컴퓨팅 사고를 위한 기초 알고리즘),None,이승찬,길벗,4.4,14,14400
218,파이썬으로 배우는 영상처리,None,Sandipan Dey,홍릉과학출판사,0.0,0,32670
219,10대를 위한 파이썬 교과서 (컴퓨팅 사고력과 알고리즘 배우기),None,아리스티데스 보우라스,교학사,0.0,0,19800
220,윤성우의 열혈 파이썬 : 기초편,None,윤성우,오렌지미디어,5.0,1,14400
221,파이썬 웹프로그래밍(실전편) (Django(장고)를 활용한 쉽고 빠른 웹 개발),None,김석훈,한빛미디어,5.0,1,28800
222,과학적 컴퓨팅을 위한 파이썬,None,"이정환, 신항식 외 2명",홍릉과학출판사,0.0,0,24750
223,"파이썬(Python): 1학년 (파이썬, 만화와 대화로 공부해 인공지능 앱까지 도전!)",None,모리 요시나오,성안당,0.0,0,15300
224,"파이썬 네트워킹 마스터 2/e (파이썬으로 하는 네트워크 자동화, 데브옵스, 테스트 주도 개발)",None,에릭 추,에이콘출판,0.0,0,31500
225,깔끔한 파이썬 탄탄한 백엔드 (지금까지 없었던 백엔드 개발자를 위한 파이썬),None,송은우,비제이퍼블릭,0.0,0,24300
226,파이썬 기초 & 알고리즘 사고법 (실전 예제를 통한 현실적 알고리즘 학습법!),None,"아리스티데스 보우라스, 루키아 아이나로지두",제이펍,0.0,0,27000
227,더 탄탄하게 배우는 파이썬3 (초짜 파이썬 프로그래머가 다음 단계로 가는 책!),None,제드 쇼,성안당,0.0,0,18000
228,객체지향 파이썬 프로그래밍 (파이썬 고급 기능으로 강력한 애플리케이션 개발),None,스티븐 로트,에이콘출판,0.0,0,40500
229,"파이썬 자료구조와 알고리즘 (기초 튼튼, 핵심 쏙쏙, 실력 쑥쑥)",None,미아 스타인,한빛미디어,0.0,0,19800
230,파이썬 웹 프로그래밍 에센셜,None,김승구,부크크(Bookk),0.0,0,24800
231,파이썬으로 텍스트 분석하기 (전략커뮤니케이션을 위한 텍스트 마이닝),None,"윤태일, 이수안",늘봄,0.0,0,16200
232,[POD] 초간단 파이썬 입문서,None,유채곤,부크크(bookk),0.0,0,9200
233,깐깐하게 배우는 파이썬 없음,None,제드 쇼,인사이트,0.0,0,21600
234,통계학 : 파이썬을 이용한 분석,None,박진호,자유아카데미,0.0,0,29700
235,"파이썬으로 배우는 웹 크롤러 (2018 세종도서 학술부문 선정도서, 파이썬 코드 조각으로 데이터 모으기)",None,박정태,정보문화사,0.0,0,22500
236,파이썬 머신러닝 완벽 가이드 (다양한 캐글 예제와 함께 기초 알고리즘부터 최신 기법까지 배우는),None,권철민,위키북스,0.0,0,34200
237,파이썬 마스터 2급(3급 포함),12월 신간도서,김상민,렉스미디어닷넷,0.0,0,19800
238,"파이썬 한권으로 끝내기: 데이터분석전문가(ADP) + 빅데이터분석기사 실기대비 (국가공인/국가기술 자격, 파이썬의 기초부터 심화까지 모두 잡는 핵심요약, 실제출제경향을 반영한 기출동형 모의고사 3회분)",None,"데싸라면, 빨간색 물고기 외 1명",시대고시기획,4.5,2,17820
239,"파이썬 네트워크 프로그래밍 (IoT 사물인터넷을 위한, 제2판)",None,서열규,복두출판사,0.0,0,24300
240,파이썬을 활용한 비지도 학습 (비구조 데이터로부터 숨겨진 패턴과 관계 찾기),None,"벤자민 존스턴, 애런 존스 외 1명",에이콘출판,0.0,0,31500
241,퀀트 전략 파이썬으로 세워라 (누구나 시작할 수 있는 파이썬 퀀트 투자 첫 단추),None,박준규,비제이퍼블릭,0.0,0,21600
242,파이썬 머신러닝 완벽 가이드 (다양한 캐글 예제와 함께 기초 알고리즘부터 최신 기법까지 배우는),None,권철민,위키북스,0.0,0,0
243,예제로 배우는 컴퓨팅 사고와 파이썬,None,"김성백, 김철민 외 1명",연두에디션,0.0,0,25200
244,파이썬으로 배우는 인공지능 (현실 세계와 지능적으로 상호 작용하는 인공지능 애플리케이션 만들기),None,프라틱 조시,에이콘출판,0.0,0,36000
245,누구나 쉽게 컴퓨팅 사고 with 파이썬 (누구나 쉽게),None,"김현정, 황숙희",길벗캠퍼스,0.0,0,22500
246,파이썬 웹 프로그래밍: 실전편 (Django(장고)를 활용한 쉽고 빠른 웹 개발),None,김석훈,한빛미디어,0.0,0,27000
247,파이썬으로 웹 크롤러 만들기 (초간단 나만의 웹 크롤러로 원하는 데이터를 가져오는 방법),None,라이언 미첼,한빛미디어,0.0,0,0
248,파이썬 데이터 시각화 마스터 (파이썬 패키지를 사용해 효과적으로 정보를 전달하는 매력적인 플롯 만들기),None,키르시 라만,에이콘출판,0.0,0,31500
249,파이썬 2학년 데이터 분석 구조 (데이터 분석 구조),None,모리 요시나오,성안당,0.0,0,15300
250,파이썬으로 구현하는 AI 이해와 활용,None,임호,일진사,0.0,0,19800
251,파이썬으로 배우는 금융 분석 2/e (금융의 기초 개념 이해부터 예제를 통한 계산 활용까지),None,유씽 얀,에이콘출판,0.0,0,34200
252,모두의 데이터 분석 with 파이썬 (실생활 예제로 시작하는 데이터 분석 첫걸음),None,송석리,길벗,5.0,1,16200
253,마이크로비트로 배우는 파이썬 (하드웨어를 동작시키며 진짜 재미있게 배우는 파이썬 입문 활용서!),None,서민우,앤써북,0.0,0,16920
254,머신러닝&딥러닝 with 파이썬 (인공지능 핵심 개념과 사용 사례부터),None,"알베르토 아르타산체스, 프라틱 조시",한빛미디어,5.0,2,15750
255,"파이썬으로 배우는 누구나 코딩 (컴퓨팅 사고력을 위한 최적의 파이썬 프로그래밍, 2020년 세종도서 선정)",None,강환수,도서출판 홍릉(홍릉과학출판사),0.0,0,22500
256,파이썬으로 익히는 말랑말랑 알고리즘 (차근차근 설명하고 막힘없이 이해하는 알고리즘),None,김경록,비제이퍼블릭,0.0,0,27000
257,데이터 시각화 with 파이썬,None,설진욱,아이콕스(iCox),0.0,0,25200
258,컴퓨팅 사고와 파이썬 기초&활용 (비전공자 모두를 위한),None,"박태진, 심갑식",복두출판사,0.0,0,9900
259,중1수학(상) 파이썬 프로그래밍 (자율학기제를 위한 코딩 교육),None,정기철,도서출판 홍릉(홍릉과학출판사),0.0,0,15840
260,시작북 파이썬 (컬러판),None,코딩 코치스,부크크(bookk),0.0,0,11000
261,쏙 들어오는 파이썬 프로그래밍,None,진민,휴먼싸이언스,0.0,0,18000
262,실무자를 위한 파이썬 100제,None,오승환,정보문화사,0.0,0,18000
263,R과 파이썬 머신러닝 어프로치 (연구 논문을 위한),None,강병서,한경사,0.0,0,34650
264,파이썬 라이브러리를 활용한 머신러닝 (사이킷런 핵심 개발자가 쓴 머신러닝과 데이터 과학 실무서),None,"안드레아스 뮐러, 세라 가이도",한빛미디어,4.7,3,29700
265,파이썬 머신러닝 실무 테크닉 100,None,"시모야마 데루마사, 미키 다카유키 외 1명",제이펍,0.0,0,22500
266,금융 데이터 분석을 위한 파이썬 판다스,None,"유대표, 조대표",파이스탁,0.0,0,27000
267,쉽게 배우는 자료구조 with 파이썬,None,문병로,한빛아카데미,5.0,1,26100
268,구글과 파이썬으로 시작하는 보안 (취약점은 이제 끝! 실전 예제와 코드로 배우는 데이터 보호),None,김용재,비제이퍼블릭,0.0,0,29700
269,파이썬 데이터 분석 for Beginner,None,우재남,한빛아카데미,0.0,0,25200
270,손에 잡히는 퀀트 투자 with 파이썬 (파이썬을 활용한 금융 데이터 분석과 퀀트 투자 전략 검증),None,GIL’s LAB,위키북스,0.0,0,28800
271,비즈니스 머신러닝 in 파이썬,None,김형수,프레딕스,0.0,0,28800
272,"작심 3일 파이썬 Python (모두가 배워야 할 Python, 남몰래 3일만 투자하자!)",None,황덕창,스포트라잇북,0.0,0,16200
273,파이썬으로 배우는 컴퓨팅 사고 (문제해결 중심의 파이썬 프로그래밍),None,김완섭,인피니티북스,0.0,0,15300
274,Do it! 점프 투 파이썬: 라이브러리 예제 편 (실무에 쓰는 라이브러리는 이 책에 다 있다!),None,박응용,이지스퍼블리싱,0.0,0,15300
275,파이썬으로 움직이는 EV3 로봇,None,황일규,복두출판사,0.0,0,20680
276,머신러닝을 위한 파이썬 한 조각 (파이썬으로 이해하는 인공지능의 시작),None,박성호,비제이퍼블릭,5.0,1,21600
277,"엑셀, R, 파이썬으로 시작하는 데이터 분석 (데이터 분석의 기본 개념과 3가지 핵심 도구 사용법)",None,조지 마운트,한빛미디어,0.0,0,19800
278,"파이썬과R(2학기, 워크북포함)",None,"심송용, 이윤동 외 1명",한국방송통신대학교출판문화원,5.0,1,14900
279,컴퓨팅 기반 문제해결 with 파이썬,None,장은실,인피니티북스,4.8,5,18000
280,"파이썬 데이터 사이언스 핸드북 (IPython, Jupyter, NumPy, Pandas, Matplotlib, Scikit-Learn 라이브러리를 활용한 데이터 과학과 머신러닝)",None,제이크 밴더플래스,위키북스,0.0,0,34200
281,"파이썬을 활용한 머신러닝 쿡북 (전처리에서 딥러닝까지, 판다스와 사이킷런 중심의 실전 문제 해결 200선)",None,크리스 알본,한빛미디어,0.0,0,28520
282,데이터를 다루며 배우는 파이썬 (Python for Everybody),None,찰스 세브란스,인사이트,0.0,0,16200
283,진짜 쉽고 쓸모 있는 언어 파이썬 (기초부터 라즈베리 파이로 TV 제어에 주크박스까지!),None,최재규,성안당,0.0,0,24300
284,파이썬으로 처음 시작하는 코딩 (초보자를 위한 프로그래밍 기본 원리와 파이썬 기본 사용법 학습을 통한 프로그래밍 입문),None,롭 마일스,에이콘출판,0.0,0,36000
285,실습을 통해 쉽게 배우는 파이썬,None,"임정목, 김도문 외 2명",현우사,0.0,0,17100
286,"파이썬 3로 컴퓨터 비전 다루기 (이미지 인식, 추적, 기계 학습, 비디오 처리, 컴퓨터 비전 웹서비스)",None,사우랍 카푸,에이콘출판,0.0,0,21600
287,파이썬으로 풀어보는 회귀분석 (단순선형회귀분석부터 고급 회귀분석까지),None,"루카 마싸론, 알베르토 보스체티",에이콘출판,0.0,0,27000
288,"파이썬으로 시작하는 데이터 분석 (데이터 분석을 위한 Python 문법부터 데이터 수집, 전처리, 탐색까지)",None,강지영,아이리포,0.0,0,19800
289,쉽게 배우는 파이썬 프로그래밍,None,이상부,글로벌,0.0,0,14400
290,파이썬 모의 해킹과 침투 테스팅,None,모히트,에이콘출판,0.0,0,18000
291,웹 크롤링 & 데이터 분석 with 파이썬,None,장철원,인사이트,0.0,0,18000
292,필수 알고리즘 with 파이썬 (핵심 개념과 실전 문제로 마스터하는),None,박선주,영진닷컴,0.0,0,14400
293,마야 파이썬 - 3D를 위한 파이썬,None,신동선,퍼플,0.0,0,25000
294,파이썬을 이용한 빅데이터 분석,None,"유성준, 구영현 외 3명",21세기사,0.0,0,22500
295,"파이썬으로 배우는 컴퓨팅사고 (STEAM, 이젠 파이썬으로 코딩한다)",None,"김진일, 윤장혁",연두에디션,0.0,0,0
296,코딩 부트캠프 with 파이썬 (파이썬 기초 문법부터 웹 애플리케이션 제작까지 실습하며 배운다!),None,유모토 미치타카,길벗,0.0,0,18000
297,파이썬으로 배우는 머신러닝 입문 (딥러닝에서 적대적 생성 네트워크까지!),None,오제키 마사유키,성안당,0.0,0,17820
298,파이썬 for Beginner (쉽고 빠르게 익히는 프로그래밍의 기본 원리),None,우재남,한빛아카데미,0.0,0,23000
299,Do it! 첫 코딩 with 파이썬 (보통 사람이 알아야 할 프로그래밍 기초),None,정동균,이지스퍼블리싱,4.7,3,16200
300,"한권으로 파이썬과 드론 날로 먹기 (파이썬의 기초문법, 응용 예제가 한권에 | 파이썬 첫걸음을 드론과 함께)",None,"이현종, 박재일",잇플,0.0,0,16200
301,파이썬으로 쉽게 풀어쓴 자료구조,None,"최영규, 천인국",생능출판,0.0,0,24300
302,"파이썬 활용 산업응용수학의 기본 (ELS주가연계증권, 이미지분할, 전염병모델, 대류확산방정식)",None,김준석,지오북스,0.0,0,13500
303,파이썬을 이용한 공학 프로그래밍 (의료용 영상 데이터와 생체 신호 분석을 파이썬으로!),None,"손재범, 정의성 외 3명",성안당,0.0,0,19800
304,어서와 파이썬은 처음이지!,None,천인국,인피니티북스,4.8,9,26100
305,파이썬 for Beginner (쉽고 빠르게 익히는 프로그래밍의 기본 원리),None,우재남,한빛아카데미,0.0,0,0
306,파이썬을 이용한 통계적 머신러닝 (제2판),None,박유성,자유아카데미,0.0,0,31680
307,잡아라! 텍스트 마이닝 with 파이썬 (지금 바로 할 수 있는 데이터 추출과 분석),None,서대호,비제이퍼블릭,0.0,0,15300
308,비공대생을 위한 코딩 첫걸음 with 파이썬,None,김일민,한성대학교출판부,0.0,0,18000
309,코딩 테스트로 시작하는 파이썬 프로그래밍 (25가지 기출문제 상세 코드 & 개념 강화를 위한 연습문제 수록),None,다니엘 진가로,영진닷컴,0.0,0,21600
310,"Do it! 파이썬 생활 프로그래밍 (문자열가공, CSV파일처리, 통계분석, 웹크롤링까지 내 손으로 직접 만든다!)",None,김창현,이지스퍼블리싱,5.0,2,18000
311,파이썬으로 시작하는 컴퓨터 프로그래밍,None,조동영,한빛아카데미,0.0,0,22500
312,파이썬으로 배우는 자료구조 프로그래밍,None,유석종,휴먼싸이언스,0.0,0,22500
313,파이썬을 이용한 알고리즘 트레이딩 (아이디어 도출부터 클라우드 배포까지),None,이브스 힐피쉬,제이펍,0.0,0,26100
314,파이썬과 함께 배우는 미분방정식,None,도진환,퍼플,0.0,0,9600
315,파이썬으로 시작하는 한국어 정보 검색과 자연어 처리 (한글 프로그래밍과 자연어 처리 핵심 알고리즘),None,박건숙,노드미디어,0.0,0,38700
316,이공학을 위한 파이썬 프로그래밍 (기초에서 이공학 응용까지 한권으로 끝),None,정동호,내하출판사,0.0,0,19800
317,파이썬을 이용한 딥러닝/강화학습 주식투자 (파이토치와 케라스를 활용한 인공지능 퀀트 투자 시스템),None,퀀티랩,위키북스,4.5,2,27000
318,파이썬으로 배우는 딥러닝 교과서 (이미지 인식 모델을 만들면서 익히는 딥러닝),None,이시카와 아키히코,한빛미디어,0.0,0,34200
319,파이썬과 함께 하는 수학 어드벤처 (파이썬과 프로세싱으로 수학 개념 이해하기),None,피터 파렐,에이콘출판,0.0,0,27000
320,돈 되는 파이썬 인공지능 프로그래밍 (회사 매출을 올리는 AI 도입과 활용법),None,아카이시 마사노리,위키북스,0.0,0,21600
321,파이썬에 참 좋은 PyCharm (나에게 가장 필요한 파이썬 개발 환경 구축하기),None,테리엇,비제이퍼블릭,0.0,0,20700
322,"파이썬으로 배우는 통계학 교과서 (기초 이론부터, 모델, 머신러닝까지)",None,바바 신야,한빛미디어,0.0,0,27000
323,코딩 클럽 LV 2: 본격 파이썬 입문 (내가 직접 만드는 파이썬 프로그램),None,크리스 로피,한빛미디어,0.0,0,9000
324,파이썬을 활용한 데이터 분석과 응용,None,"이성건, 강현철",자유아카데미,5.0,1,29400
325,파이썬을 이용한 통계적 머신러닝,None,박유성,자유아카데미,0.0,0,28710
326,처음 시작하는 파이썬 프로그래밍,None,김민규,가메,0.0,0,16200
327,"파이썬 핵심 개발자들과의 인터뷰 (파이썬 커뮤니티 코어 개발자들이 말하는 파이썬의 과거, 현재 그리고 미래)",None,마이크 드리스콜,터닝포인트,0.0,0,16920
328,자료분석을 위한 파이썬 프로그램,None,박진표,경남대학교출판부,0.0,0,25000
329,실전 스케일링 파이썬 프로그래밍 (오픈 소스 개발자들에게 배우는 대규모 파이썬 개발 노하우),None,줄리안 단주,인사이트,0.0,0,17100
330,파이썬을 활용한 금융공학 레시피 (문과생의 코딩 울렁증과 이과생의 금융 울렁증을 한 방에 씻어줄 금융공학 사이다),None,김용환,한빛미디어,0.0,0,25200
331,알기쉬운 파이썬 SQL 코딩하기 (비전공자도 쉽게 배우는 SQL),None,정현희,크라운출판사,0.0,0,12830
332,창의적 프로그래밍을 위한 파이썬,None,한혁수,생능출판사,0.0,0,20700
333,파이썬을 활용한 데이터 길들이기 (데이터 전처리 효율화 전략),None,"캐서린 자멀, 재클린 카질",인사이트,0.0,0,29700
334,프로그래밍이 보인다! 파이썬 입문,None,제이미 챈,에이콘출판,0.0,0,12600
335,파이썬을 사용한 프로그래밍 입문,None,채진석,정익사,0.0,0,23000
336,"파이썬을 이용한 컴퓨터 과학 입문 (이공계를 위한 프로그래밍, 자료구조, 알고리즘)",None,"로버트 세지윅, 케빈 웨인 외 1명",길벗,0.0,0,43200
337,파이썬을 활용한 딥러닝 전이학습 (Transfer Learning으로 빠르고 손쉽게 구축하는 고급 딥러닝 모델),None,"디파니안 사르카르, 러그허브 발리 외 1명",위키북스,0.0,0,27000
338,알기 쉬운 파이썬 SQL 코딩하기,None,정현희,크라운출판사,0.0,0,13500
339,"파이썬을 이용한 데이터 분석의 정석 (넘파이, 판다스, 맷플롯립과 실전 예제로 배우는)",None,채진석,루비페이퍼,0.0,0,28800
340,파이썬을 활용한 생명정보학 2/e,None,티아구 안타오,에이콘출판,0.0,0,32400
341,자연어 처리 쿡북 with 파이썬 (파이썬으로 NLP를 구현하는 60여 가지 레시피),None,"크리슈나 바브사, 나레쉬 쿠마르 외 1명",에이콘출판,0.0,0,27000
342,암호 해킹으로 배우는 파이썬의 기초 (암호학과 파이썬을 함께 배우자),None,알 스웨이가트,에이콘출판,0.0,0,31500
343,파이썬 자연어 처리의 이론과 실제 (효율적인 자연어 처리를 위한 머신 러닝과 딥러닝 구현하기),None,잘라지 트하나키,에이콘출판,0.0,0,31500
344,"데이터 분석 실무 with 파이썬 (마케팅, 영업, 기획 실무 담당자를 위한 데이터 분석의 기술)",None,이형석,위키북스,0.0,0,24300
345,파이썬(열혈강의)(개정판 VER.2) (개정판),None,이강성,프리렉,0.0,0,0
346,파이썬 코딩 수학 with 딥러닝 (수학적 사고력 향상을 위한),None,박경원,정보문화사,5.0,1,13500
347,알고리즘과 자료구조(자바+파이썬) (Java와 Python 예제로 익히는 알고리즘 프로그래밍),None,조민호,정보문화사,0.0,0,13500
348,암호화폐 자동매매 시스템 만들기 with 파이썬 (대량의 시뮬레이션과 최적화 전략까지),None,정성문,로드북,5.0,1,31500
349,파이썬을 이용한 데이터 분석 2/e (다양한 파이썬 라이브러리와 소프트웨어를 활용한 데이터 사이언스의 이해),None,아르만도 판당고,에이콘출판,0.0,0,27000
350,"파이썬을 이용한 비트코인 자동매매 (실시간 자동매매 시스템 개발 입문, 개정판)",None,"조대표, 유대표",파이스탁,5.0,3,24300
351,파이썬으로 배우는 소프트웨어와 인공지능,None,"조행래, 윤종희 외 2명",영남대학교출판부,0.0,0,24250
352,"파이썬으로 배우는 실전 알고리즘 (물리, 생물, 재무 등 다양한 분야의 응용 예제 구현)",None,마시모 디 피에로,프리렉,0.0,0,25200
353,컴퓨팅 사고와 소프트웨어 with 파이썬,None,"성태응, 홍정희 외 1명",인피니티북스,0.0,0,22500
354,파이썬으로 배우는 자료 구조 핵심 원리 (핵심 개념과 동작 원리로 이해하는 자료 구조),None,양태환,길벗,0.0,0,19800
355,파이썬 웹 프로그래밍 에센셜 개정판 (개정판),None,김승구,부크크(Bookk),0.0,0,0
356,파이썬 머신러닝 판다스 데이터 분석,None,오승환,정보문화사,0.0,0,22500
357,"21개의 작고 재미난 파이썬 프로젝트 (프로그래밍 스킬, 새로운 알고리즘, 테스트 주도 개발을 배우다)",None,켄 유엔스-클락,제이펍,0.0,0,27000
358,코드업과 함께 하는 파이썬 & 문제 해결 (누구나 쉽게 배우는 프로그래밍 입문서),None,"배준호, 정웅열 외 2명",삼양미디어,5.0,1,14400
359,"파이썬으로 배우는 게임 개발: 입문편 (퀴즈, 주사위, 제비 뽑기, 미로, 진단 애플리케이션, 블록 낙하 퍼즐, RPG 등을 만들며 배운다!)",None,히로세 츠요시,제이펍,0.0,0,25200
360,김변수와 시작하는 코딩생활 with 파이썬,None,코뮤니티 운영진(휴몬랩),영진닷컴,0.0,0,16200
361,"파이썬으로 배우는 게임 개발: 실전편 (장애물 피하기, 닷잇 액션, 맵 에티터, 탄막 슈팅)",None,히로세 츠요시,제이펍,0.0,0,27000
362,파이썬·케라스로 시작하는 AI기초 (구글 코랩 활용),None,천상훈,복두출판사,0.0,0,14100
363,파이썬으로 배우는 디지털 신호처리 (파이썬으로 배우는),None,하석운,생능출판사,0.0,0,23400
364,파이썬과 케라스로 배우는 강화학습 (내 손으로 직접 구현하는 게임 인공지능),None,이의령,위키북스,0.0,0,25200
365,파이썬과 함께 배우는 신호와 시스템 (개정판),None,남승현,홍릉,0.0,0,27720
366,"파이썬으로 배우는 수치 데이터 처리 (AI, Deep Learning, BigData 처리를 위한 PYTHON 필수 라이브러리 기초)",None,김민규,가메,0.0,0,19800
367,파이썬 데이터 전처리 및 탐색 라이브러리,None,허진경,부크크(bookk),0.0,0,29400
368,데이터 분석을 위한 파이썬 철저 입문 (기초 문법부터 실무에 필요한 데이터 분석 기술까지 한 번에 배우는),None,최은석,위키북스,0.0,0,25200
369,"파이썬으로 데이터 마이닝 시작하기 (데이터의 수집, 로딩, 변환, 클러스터링, 예측까지)",None,나단 그리넬치,에이콘출판,0.0,0,18900
370,파이썬으로 배우는 초중등 교과서 1 (즐겁게 시작하고 똑똑하게 끝내는 코딩 교과서),None,김정욱,루비페이퍼,0.0,0,16200
371,파이썬으로 배우는 초중등 교과서 2 (즐겁게 시작하고 똑똑하게 끝내는 코딩 교과서),None,김정욱,루비페이퍼,0.0,0,16200
372,IT 비전공자를 위한 돈 버는 파이썬 코딩 (N잡러 자동부업 수익창출),None,비현코,디지털북스,5.0,1,16200
373,파이썬으로 배우는 프로그래밍 기초 (거북이 그래픽으로 따라하는 재미있는 코딩),None,"임좌상, 조용주",인피니티북스,0.0,0,20700
374,"파이썬으로 배우는 데이터 과학 2/e (파이썬의 주요 패키지부터 머신 러닝, 시각화에 이르기까지 데이터 과학의 핵심을 한번에)",None,"알베르토 보스체티, 루카 마싸론",에이콘출판,0.0,0,27000
375,배프의 오지랖 파이썬 웹프로그래밍 (Django(장고)로 쉽게 배우는),None,배프,디지털북스,0.0,0,19800
376,예제 중심의 Python 파이썬 3 (쉽고 재미있는 프로그래밍 언어),None,최용,인피니티북스,0.0,0,22500
377,COS Pro 2급 파이썬 (교재+모의고사) (프로그래머를 향한 출발점),None,남재윤,길벗,0.0,0,16200
378,파이썬으로 배우는 프로그래밍 기초 (소프트웨어 교양 | 누구나 할 수 있는 가장 쉬운 프로그래밍 입문서),None,크리스 로피,한빛아카데미,0.0,0,11700
379,마인크래프트와 함께 즐겁게 파이썬 (게임으로 재미있게 배우는 코딩과 알고리즘),None,최일선,비제이퍼블릭,0.0,0,23400
380,파이썬으로 배우는 응용 텍스트 분석 (언어 인식 데이터 제품 개발을 위한 머신러닝),None,"벤자민 벵포트, 레베카 빌브로 외 1명",제이펍,0.0,0,24300
381,파이썬에 기반한 케라스 딥러닝 실전 (파이썬에 기반한),None,"씨에량, 루잉 외 1명",광문각,0.0,0,24300
382,파이썬 날코딩으로 알고 짜는 딥러닝 (프레임워크 없이 단층 퍼셉트론에서 GAN까지),None,윤덕호,한빛미디어,0.0,0,40500
383,파이썬으로 배우는 대규모 머신 러닝 (대규모 데이터 분석과 처리를 위한 다양한 머신 러닝 기법 활용),None,"바스티앙 스야딘, 루카 마싸론 외 1명",에이콘출판,0.0,0,31500
384,파이썬을 활용한 스파크 프로그래밍 (빅데이터 분석을 위한 스파크 활용법),None,제프리 에이븐,에이콘출판,0.0,0,27000
385,효율적 개발로 이끄는 파이썬 실천 기술 (파이썬에 숨겨진 힘을 이용해 개발 효율을 높이자!),None,스야마 레이,제이펍,0.0,0,19800
386,입문에서 실무까지 완벽 정리 파이썬,None,"임정목, 정진영 외 2명",현우사,0.0,0,21600
387,파이썬으로 구현하는 고급 머신 러닝 (딥러닝을 포함한 최신 고급 머신 러닝 기술과 파이썬 활용),None,존 하티,에이콘출판,0.0,0,29700
388,초등 교과수학코딩 with 파이썬,None,하 우 홍,부크크(Bookk),0.0,0,0
389,"파이썬을 활용한 부동산 데이터 분석 (파이썬 기초부터 실제 부동산 데이터를 활용한 매매분석, 수요예측, 시각화)",None,박준규,위키북스,0.0,0,0
390,파이썬과 함께하는 자료구조의 이해,None,양성봉,생능,0.0,0,22500
391,파이썬과 케라스로 배우는 강화학습 (내 손으로 직접 구현하는 게임 인공지능),None,"이의령, 양혁렬 외 2명",위키북스,0.0,0,0
392,파이썬을 이용한 비트코인 자동매매 (실시간 자동매매 시스템 개발 입문),None,유부장,파이스탁,0.0,0,24300
393,예제로 배우는 파이썬 데이터 시각화 (파이썬초심자부터다양한데이터시각화예제학습이필요한독자들을위한필독서),None,이고 밀로바노빅,에이콘출판,0.0,0,30000
394,"머신 러닝 부트캠프 with 파이썬 (분류, 회귀 구현 방법과 실전 예제를 통해 제대로 된 학습 방법을 배운다!)",None,주식회사 시스템 계획 연구소,길벗,0.0,0,19800
395,파이썬 GUI 프로그래밍 쿡북 2/e (파이썬 3로 쉽고 빠르게 GUI 개발하기),None,부르크하르트 메이어,에이콘출판,0.0,0,31500
396,배워서 바로 써먹는 데이터 분석 with 파이썬,None,설진욱,생능북스,0.0,0,23400
397,"한권으로 파이썬과 드론 날로먹기: 인공지능편 (파이썬의 기초문법, 응용 예제가 한권에)",None,"이현종, 박재일",잇플,5.0,2,96300
398,The Python - 파이썬 프로그래밍,None,허진경,부크크(bookk),0.0,0,32000
399,왕초보! 파이썬 배워 크롤러 DIY 하다!,None,"서진수, 최경우",더알음,0.0,0,0
400,파이썬으로 완성하는 비지도 학습 알고리즘 (비감독 모형과 텐서플로 2를 이용한 전처리 기법의 머신러닝 구현),None,송동근,비제이퍼블릭,0.0,0,30600
401,난생처음 컴퓨팅 사고 with 파이썬,None,김명호,한빛아카데미,5.0,1,20700
402,파이썬을 활용한 소프트웨어 아키텍처 (견고하고 확장 가능한 애플리케이션 아키텍처 설계),None,아난드 발라찬드라 필라이,에이콘출판,0.0,0,36000
403,생각대로 PYTHON 파이썬 첫걸음 (파이썬 성장 프로젝트 | 파이썬 기초부터 인공지능까지),None,"전현희, 강희숙 외 2명",잇플ITPLE,0.0,0,20700
404,Introduction to 파이썬 (338 예제로 완성하는 파이썬),None,황재호,인포앤북,0.0,0,22500
405,"파이썬 데이터 분석 실무 테크닉 100 (100가지 예제로 배우는 데이터 가공, 머신러닝, 이미지/자연어 처리의 기술)",None,미키 타카유키,위키북스,0.0,0,23400
406,파이썬 코딩 실습(연구활용 대기과학편),None,윤현석,좋은땅,0.0,0,22500
