Unnamed: 0,제목,랭킹,저자,출판사,평점,리뷰수,가격
51,파이썬과 함께하는 자료구조의 이해 (개정판),11월 신간도서,양성봉,생능출판,0.0,0,25200
52,혼자 공부하는 파이썬 (파이썬 최신 버전 반영),None,윤인성,한빛미디어,5.0,4,16200
53,컴퓨팅 사고를 위한 파이썬 (인공지능 프로그래밍을 포함한 개정판),None,"서정원, 김태령",생능출판,5.0,1,27000
54,파이썬과 파이게임 (쉽고 재미있게 예제로 배우는!),None,정선호,그린,0.0,0,25200
55,모두를 위한 파이썬 (제3판),None,"Cay Horstmann, Rance Necaise",한티에듀,0.0,0,31500
56,파이썬 프로그래밍 (자료구조와 알고리즘을 함께 배우는),None,김영탁,도서출판 홍릉(홍릉과학출판사),0.0,0,33660
57,파이썬 텍스트 코딩 워크북 (직접 풀어보면서 기르는 코드 리뷰 능력!),None,"서정민, 김성안 외 2명",삼양미디어,0.0,0,4500
58,알고리즘과 파이썬,None,채진석,정익사,0.0,0,27000
59,"파이썬 프로그래밍 (입문부터 실무까지 한 방에 끝내는, 개정판)",None,김용,혜지원,0.0,0,24300
60,손에 잡히는 파이썬 (주피터 노트북을 이용한 파이썬 프로그래밍 | 개념부터 코어까지),None,문용준,비제이퍼블릭,0.0,0,39600
61,"파이썬 프로그래밍 (데이터과학 및 응용프로그램, 2판)",None,John V. Guttag,홍릉과학출판사,0.0,0,28710
62,컴맹을 위한 파이썬,None,정덕,디지털북스,0.0,0,10800
63,파이썬 분산 컴퓨팅 (분산 컴퓨팅 기초부터 테스팅과 디버깅까지),None,프란세스코 피에르페데리시,에이콘출판,0.0,0,18000
64,파이썬 완벽 가이드,None,데이비드 M. 비즐리,인사이트,0.0,0,34200
65,파이썬 프로그래밍 (입문부터 실무까지 한 방에 끝내는),None,김용,혜지원,0.0,0,24300
66,"파이썬 쉽게, 더 쉽게 (친절한 설명과 다양한 예제로 배우는, 개정증보판)",None,츠지 신고,제이펍,0.0,0,23400
67,처음 만나는 파이썬 (친절한 설명! 흥미로운 예제!),None,가마타 마사히로,제이펍,0.0,0,19800
68,파이썬 프로그래밍,None,이영실,한산,0.0,0,23000
69,파이썬 프로그래밍 (누구나 할 수 있는 가장 쉬운 프로그래밍 입문서),None,크리스 로피,한빛아카데미,0.0,0,20900
70,통계학: 파이썬을 이용한 분석 (제2판),None,인하대학교 통계학과,자유아카데미,0.0,0,31040
71,나는 파이썬으로 머신러닝한다 1 (코알못을 위한 인공지능 순한맛),None,"최정원, 박지훈",씨마스,5.0,2,9000
72,"예제로 배우는 파이썬 머신러닝 (텐서플로 2, 파이토치, 사이킷런으로)",None,위시 (헤이든) 류,제이펍,0.0,0,29700
73,파이썬 웹 스크레이핑 완벽 가이드 (파이썬 기초문법부터 스트림릿을 이용한 웹 앱 제작과 카카오 API 활용까지),None,최은석,위키북스,0.0,0,28800
74,뚝딱뚝딱 파이썬 자동화 (다양한 연습 프로젝트를 통해 익히는 단순 반복 작업 해결 전략),None,알 스웨이가트,인사이트,5.0,1,29700
75,가장 쉬운 독학 알고리즘 첫걸음: 파이썬편 (코딩 테스트에 대비하는 25가지 기초 알고리즘과 최적화),None,마스이 도시카츠,동양북스,0.0,0,21150
76,그림으로 배우는 파이썬,None,다카하시 마나,영진닷컴,4.0,1,16200
77,이게 진짜 파이썬EASY! (기초부터 활용까지 한 권으로 끝내는),None,감무철,책밥,5.0,1,23400
78,파이썬3 입문과 활용,None,"심윤식, 지란지교에듀랩",지란지교에듀랩,0.0,0,24300
79,실전 파이썬 핸즈온 프로젝트 (문제 해결과 실무 응용력을 키우기 위한 나만의 파이썬 포트폴리오 만들기),None,리본,책만,0.0,0,13500
80,처음 시작하는 파이썬 (파이썬 패키지를 활용한 모던 컴퓨팅 입문),None,빌 루바노빅,한빛미디어,0.0,0,32400
81,데이터 과학을 위한 파이썬 머신러닝,None,최성철,한빛아카데미,0.0,0,27000
82,파이썬 입문 예제 중심 (파이썬 기초 with 데이터 분석 시각화),None,황재호,인포앤북,0.0,0,22500
83,"전문가를 위한 파이썬 (간단하고, 명료하고, 효율적인 파이썬 프로그래밍 (파이썬 3 버전 기반))",None,루시아누 하말류,한빛미디어,0.0,0,49500
84,문과생을 위한 파이썬,None,홍성인,인디라이프,0.0,0,16650
85,파이썬 웹 프로그래밍 (Django(장고)로 배우는 쉽고 빠른 웹 개발 | 파이썬3.x 장고2.x 버전 반영),None,김석훈,한빛미디어,5.0,2,19800
86,"러닝 파이썬(상) (파이썬에 관한 것, 그 무엇이든!)",None,마크 루츠,제이펍,0.0,0,34200
87,"러닝 파이썬(하) (파이썬에 관한 것, 그 무엇이든!)",None,마크 루츠,제이펍,0.0,0,34200
88,파이썬 입문 A to Z,None,문용준,토마토북,0.0,0,14850
89,개발자를 위한 파이썬 (현장에서 일하는 개발자 맞춤 입문서),None,윤웅식,한빛미디어,0.0,0,18000
90,핵심코어! 파이썬 프로그래밍,None,최희식,인피니티북스,3.0,1,20700
91,인공지능 파이썬&블록코딩 (사이버파이와 함께하는),None,창의융합과학,창의융합과학(주),0.0,0,22500
92,파이썬 Express,None,천인국,생능출판,0.0,0,27000
93,파이썬으로 배우는 텐서플로 기초,None,도진환,퍼플,0.0,0,9600
94,파이썬 알고리즘 인터뷰 (95가지 알고리즘 문제 풀이로 완성하는 코딩 테스트),None,박상길,책만,3.7,3,34200
95,"파이썬 3.6 프로그래밍 (기초 예제부터 라즈베이 파이, 알렉사, 텔레그램 봇까지 만들면서 배우는)",None,최동진,위키북스,0.0,0,27000
96,"파이썬을 활용한 금융 분석 (파이썬의 기초부터 금융공학, 수학, 정량 분석, 시스템 구현까지)",None,이브 힐피시,한빛미디어,0.0,0,37800
97,따라하면서 배우는 파이썬,None,이상철,복두출판사,5.0,1,12220
98,파이썬 데이터 클리닝 쿡북 (파이썬과 판다스를 활용한 데이터 전처리),None,마이클 워커,위키북스,2.0,1,25200
99,파이썬 프로그래밍 핵심,None,전희성,UUP,0.0,0,11700
100,파이썬 프로그래밍 길라잡이,None,장혜진,홍릉,0.0,0,28710
101,술술 넘기며 다 이해하는 파이썬 코딩 노트북 38 (처음으로 프로그래밍 사고의 길을 내다),11월 신간도서,이강성,프리렉,0.0,0,19800
102,"파이썬 증권 데이터 분석 (파이썬 입문, 웹 스크레이핑, 트레이딩 전략, 자동 매매)",None,김황후,한빛미디어,4.6,5,27650
103,파이썬으로 챗봇 만들기 (자연어 처리와 머신러닝을 이용하여),None,Sumit Raj,영진닷컴,0.0,0,18000
104,파이썬으로 맛보는 인공지능 한 조각 (누구든 쉽게 이해하는 파이썬×인공지능 입문서!),None,김수빈,디지털북스,0.0,0,16200
105,파이썬과 피지컬 컴퓨팅,None,"목원대학교 스톡스대학 SW교양학부, 조도은 외 4명",인피니티북스,0.0,0,12600
106,파이썬 코딩 실습(기본편),None,윤현석,좋은땅,0.0,0,22500
107,기계학습 기반의 파이썬 활용,None,"황철현, 정회경",성진미디어,0.0,0,18000
108,파이썬 라이브러리를 활용한 텍스트 분석 (텍스트에서 통찰을 이끌어내는 98가지 자연어 처리 전략),None,"젠스 알브레히트, 싯다르트 라마찬드란 외 1명",한빛미디어,0.0,0,31500
109,파이썬 객체지향 프로그래밍 4/e (다각도로 살펴보는 OOP 시스템),None,"스티븐 로트, 더스티 필립스",에이콘출판,0.0,0,38700
110,누구나 파이썬 통계분석 (통계는 4차 산업혁명 시대의 필수 지식 / 기초이론-수식-파이썬의 3 STEP),None,타니아이 히로키,한빛아카데미,5.0,5,23400
111,신비한 파이썬 프로젝트 (호기심을 풀어보는),None,리본,영진닷컴,0.0,0,21600
112,인공지능 with 파이썬,None,"김현정, 유상현",인피니티북스,0.0,0,19800
113,게임으로 배우는 파이썬 (고전게임을 직접 만들면서 즐겁게 배우는 파이썬),None,다나카 겐이치로,영진닷컴,0.0,0,15300
114,"Do it! 점프 투 파이썬 (이미 50만 명이 ""점프 투 파이썬""으로 시작했다!)",None,박응용,이지스퍼블리싱,0.0,0,16920
115,파이썬 실무 프로그래밍 (시스템/네트워크 관리자를 위한),None,조훈,위키북스,0.0,0,40500
116,파이썬과 수치 해석 2/e (파이썬 수치 해석 레시피),None,로버트 요한슨,에이콘출판,0.0,0,45000
117,파이썬 네트워크 자동화 (가상화 랩 만들기를 통한),None,최병철,에이콘출판,0.0,0,40500
118,파이썬이 보이는 그림책 (국내 최초 그림으로 배우는 프로그래밍 입문서),None,"ANK Co., Ltd.",성안당,0.0,0,15300
119,수학으로 배우는 파이썬 (초등 수학으로 재밌고 쉽게 파이썬 배우기),None,다나카 카즈나리,영진닷컴,0.0,0,11700
120,"파이썬 마이크로서비스 (모범 사례로 알아보는 파이썬 마이크로서비스 개발, 테스트, 배포, 확장까지)",None,타렉 지아드,에이콘출판,0.0,0,31500
121,"파이썬 데이터 분석 입문 (엑셀 및 CSV 파일 처리부터 데이터베이스, 시각화, 통계분석, 자동화까지)",None,클린턴 브라운리,한빛미디어,0.0,0,24300
122,비트코딩 라이트 : 파이썬 (최초의 문제은행식 코딩문제집),None,박해민,햄큐,0.0,0,18000
123,파이썬 디자인 패턴 2/e (디자인 패턴을 사용해 소프트웨어 설계 문제 해결하기),None,체탄 기리다,에이콘출판,0.0,0,13500
124,구글로 공부하는 파이썬 (구글에서 찾는 파이썬 실전 예제 분석),None,김용재,비제이퍼블릭,0.0,0,37800
125,파이썬을 이용한 통계적 머신러닝 (제3판),None,박유성,자유아카데미,0.0,0,32980
126,실전 파이썬 프로그래밍 (오픈 소스 개발자가 알려주는 고급 기법과 실천법),None,줄리안 단주,인사이트,0.0,0,15300
127,"파이썬 성능 높이기 2/e (프로그램 병목 찾기부터 파이썬 구현 선택, 병렬 시스템 확장까지)",None,가브리엘레 라나로,에이콘출판,0.0,0,25200
128,파이썬 웹 스크래핑 2/e (수많은 데이터 사이에서 필요한 정보 수집하기),None,"캐서린 자멀, 리차드 로손",에이콘출판,0.0,0,22500
129,"엔지니어를 위한 파이썬 (개발 기초, 필수 라이브러리, 그리고 고속화)",None,나카쿠키 켄지,제이펍,0.0,0,25200
130,"헬로! 파이썬 프로그래밍 (쉽고 재미있게 프로그래밍 배우기, 개정증보판)",None,"워렌 산데, 카터 산데",위키북스,0.0,0,24300
131,러닝스쿨! 파이썬 교과서 (나의 첫 프로그래밍 교과서),None,쿠지라 히코우즈쿠,위키북스,0.0,0,19800
132,토닥토닥 파이썬 기초편,None,"권상기, 이충권 외 1명",플랜투비아이플러스,0.0,0,22500
